transaction_id,timestamp,amount,status,payment_mode,settlement_status,settlement_delay_mins
TXNP100130,2026-06-05 06:04:54,173.37,SUCCESS,UPI,Unsettled,2039
TXNP100014,2026-06-05 07:11:10,261.85,SUCCESS,UPI,Settled,1772
TXNP100099,2026-06-05 09:34:49,166.17,SUCCESS,UPI,Settled,2205
TXNP100065,2026-06-05 15:26:09,190.59,FAILURE,UPI,N/A,0
TXNP100081,2026-06-05 18:20:41,141.73,FAILURE,UPI,N/A,0
TXNP100066,2026-06-06 05:39:26,138.63,SUCCESS,UPI,Unsettled,1569
TXNP100116,2026-06-06 07:19:32,312.97,FAILURE,Credit Card,N/A,0
TXNP100145,2026-06-06 09:14:08,137.53,SUCCESS,UPI,Settled,1956
TXNP100049,2026-06-06 11:26:55,234.46,SUCCESS,UPI,Settled,2612
TXNP100001,2026-06-06 14:57:51,211.74,SUCCESS,UPI,Settled,2238
TXNP100032,2026-06-06 15:29:21,70.43,FAILURE,Wallet,N/A,0
TXNP100062,2026-06-06 15:36:54,250.98,SUCCESS,UPI,Settled,3003
TXNP100074,2026-06-06 20:52:26,229.11,SUCCESS,UPI,Unsettled,2079
TXNP100017,2026-06-07 02:01:47,377.65,SUCCESS,Wallet,Settled,1962
TXNP100018,2026-06-07 03:03:26,329.23,SUCCESS,Wallet,Unsettled,1739
TXNP100064,2026-06-07 09:44:57,112.92,SUCCESS,UPI,Settled,1610
TXNP100085,2026-06-08 00:51:42,143.3,FAILURE,Credit Card,N/A,0
TXNP100120,2026-06-08 04:59:00,228.69,SUCCESS,Wallet,Settled,2487
TXNP100015,2026-06-08 06:06:59,130.94,FAILURE,UPI,N/A,0
TXNP100114,2026-06-08 15:01:53,63.78,SUCCESS,UPI,Settled,2312
TXNP100128,2026-06-08 17:20:53,262.18,SUCCESS,UPI,Settled,1651
TXNP100060,2026-06-08 22:59:21,374.37,SUCCESS,Net Banking,Settled,2140
TXNP100088,2026-06-09 09:15:20,50.95,SUCCESS,UPI,Settled,1536
TXNP100134,2026-06-09 10:01:01,398.93,SUCCESS,UPI,Settled,2088
TXNP100044,2026-06-09 13:53:03,290.77,SUCCESS,Net Banking,Settled,1447
TXNP100119,2026-06-09 15:35:20,394.02,SUCCESS,Wallet,Settled,1176
TXNP100010,2026-06-09 16:06:23,352.0,FAILURE,Wallet,N/A,0
TXNP100089,2026-06-10 00:43:20,42.41,FAILURE,UPI,N/A,0
TXNP100040,2026-06-10 09:29:42,325.45,SUCCESS,Wallet,Settled,2249
TXNP100021,2026-06-10 19:12:20,304.77,SUCCESS,UPI,Settled,1620
TXNP100102,2026-06-11 08:43:09,206.95,SUCCESS,UPI,Settled,1864
TXNP100096,2026-06-11 12:43:41,312.67,SUCCESS,Credit Card,Settled,2529
TXNP100048,2026-06-11 17:37:35,221.3,SUCCESS,UPI,Settled,2920
TXNP100122,2026-06-11 22:47:22,346.6,FAILURE,UPI,N/A,0
TXNP100121,2026-06-13 00:33:58,188.58,SUCCESS,Wallet,Unsettled,2465
TXNP100092,2026-06-13 09:54:10,51.08,FAILURE,Wallet,N/A,0
TXNP100090,2026-06-14 01:31:12,105.16,SUCCESS,UPI,Settled,1848
TXNP100133,2026-06-14 05:54:50,396.44,FAILURE,Credit Card,N/A,0
TXNP100126,2026-06-14 22:54:19,56.01,SUCCESS,UPI,Unsettled,1572
TXNP100000,2026-06-15 06:10:39,233.67,FAILURE,UPI,N/A,0
TXNP100125,2026-06-16 00:57:26,390.08,SUCCESS,UPI,Settled,1939
TXNP100052,2026-06-16 05:56:19,65.67,SUCCESS,Net Banking,Settled,1283
TXNP100095,2026-06-17 15:02:48,120.06,FAILURE,UPI,N/A,0
TXNP100016,2026-06-17 21:40:50,269.91,SUCCESS,UPI,Settled,2739
TXNP100050,2026-06-19 14:38:58,106.54,SUCCESS,UPI,Settled,1099
